Datasets,Genre,Creation,basic_statistics_n_chars,basic_statistics_n_complex_words,basic_statistics_n_letters,basic_statistics_n_long_words,basic_statistics_n_monosyllable_words,basic_statistics_n_polysyllable_words,basic_statistics_n_punctuations,basic_statistics_n_sents,basic_statistics_n_simple_words,basic_statistics_n_spaces,basic_statistics_n_syllables,basic_statistics_n_unique_words,basic_statistics_n_words,pos_ner_analysis_ner_LOC,pos_ner_analysis_ner_ORG,pos_ner_analysis_ner_PER,pos_ner_analysis_pos_ADJ,pos_ner_analysis_pos_ADP,pos_ner_analysis_pos_ADV,pos_ner_analysis_pos_AUX,pos_ner_analysis_pos_CCONJ,pos_ner_analysis_pos_DET,pos_ner_analysis_pos_INTJ,pos_ner_analysis_pos_NOUN,pos_ner_analysis_pos_NUM,pos_ner_analysis_pos_PART,pos_ner_analysis_pos_PRON,pos_ner_analysis_pos_PROPN,pos_ner_analysis_pos_PUNCT,pos_ner_analysis_pos_SCONJ,pos_ner_analysis_pos_SPACE,pos_ner_analysis_pos_SYM,pos_ner_analysis_pos_VERB,pos_ner_analysis_pos_X,readability_statistics_automated_readability_index,readability_statistics_coleman_liau_index,readability_statistics_flesch_kincaid_grade,readability_statistics_flesch_reading_easy,readability_statistics_lix,readability_statistics_smog_index,sentiment_analysis_polarity,sentiment_analysis_subjectivity,syntactic_analysis_avg_tree_depth,text_homogeneity_avg_similarity,dependency_ROOT,dependency_acl,dependency_acl:relcl,dependency_advcl,dependency_advmod,dependency_amod,dependency_appos,dependency_aux,dependency_aux:pass,dependency_case,dependency_cc,dependency_ccomp,dependency_compound,dependency_conj,dependency_cop,dependency_csubj,dependency_csubj:pass,dependency_dep,dependency_det,dependency_discourse,dependency_expl,dependency_fixed,dependency_flat,dependency_flat:foreign,dependency_flat:name,dependency_iobj,dependency_list,dependency_mark,dependency_nmod,dependency_nsubj,dependency_nsubj:pass,dependency_nummod,dependency_nummod:entity,dependency_nummod:gov,dependency_obj,dependency_obl,dependency_obl:agent,dependency_orphan,dependency_parataxis,dependency_punct,dependency_xcomp
ruHateSpeech,social/ethics,Natural,6.097177937467282,0.1334887926521677,4.867272640746204,0.3835720744301147,0.3239423214200733,0.6191881216389854,0.20163708180650075,1439,0.809641650406891,1.0017132251463379,2.07485842097749,0.3593965640317898,21013,0.005948698424784657,0.0048541379146242805,0.011944986436967592,0.076381287774235,0.09679722076809594,0.0792842526055299,0.011040784276400324,0.05182506067672393,0.04440108504259268,0.0003331271117879408,0.2415171560462571,0.011040784276400324,0.06843382667872269,0.1094560510160377,0.04559082472754961,0.18126873840003807,0.033741017465378574,0.0013800980345500405,0.000571075048779327,0.14776566887165088,0.0014276876219483177,3.525128468388821,4.043149954789893,5.711692324421293,63.15275664074,52.95970918032905,12.39368925201227,0.496875,0.5333333333333333,11.491793313069907,0.5080037799181787,1.1459346768589298,0.10979847116052814,0.05837387074357193,0.16400277970813065,1.7915218902015289,0.7380125086865879,0.2126476719944406,0.07644197359277276,0.002779708130646282,1.4781097984711604,0.7658095899930507,0.14107018763029883,0.0020847810979847115,1.0958999305072967,0.06949270326615706,0.10562890896455872,0.001389854065323141,0.020152883947185545,0.6059763724808895,0.03266157053509382,0.0034746351633078527,0.15913829047949965,0.0020847810979847115,0.006949270326615705,0.06462821403752605,0.2904794996525365,0.0,0.43780403057678946,1.011118832522585,1.6400277970813064,0.03891591382904795,0.08964558721334259,0.0006949270326615705,0.04030576789437109,0.9388464211257818,1.0924252953439888,0.0006949270326615705,0.002779708130646282,0.16539263377345378,2.62821403752606,0.32453092425295343
RWSD,comprehension/language,Natural,6.261834222134439,0.13397853709921653,5.057014945026006,0.4179340312067944,0.27105141878991373,0.6791098821515571,0.19270524721838173,1321,0.8161827638422543,0.9997366515241293,2.1449074988478505,0.16656791098821516,15189,0.005332806636381592,0.00039502271380604387,0.06866811508328395,0.06708802422805978,0.105207716110343,0.0711040884850879,0.023306340114556588,0.038053854763315555,0.031009283033774444,0.0,0.2158140759760353,0.008032128514056224,0.02745407860952005,0.10606359865692278,0.08262558430443084,0.18809664889064454,0.044703403779050625,0.0002633484758706959,0.0,0.18401474751464875,0.0,3.842132708020252,4.439603002172628,4.701897413807323,62.97851957662496,53.29151061500192,11.02336290359889,0.0,0.0,10.474640423921272,0.6909598494458644,1.0,0.06510219530658592,0.05677517032551098,0.372445117335352,0.93111279333838,0.5185465556396669,0.10976532929598788,0.0348221044663134,0.050719152157456475,1.2172596517789553,0.43679031037093113,0.1445874337623013,0.004542013626040878,0.558667676003028,0.17789553368660105,0.07342922028766086,0.003028009084027252,0.005299015897047691,0.33232399697199094,0.0,0.001514004542013626,0.21953065859197576,0.0,0.0,0.050719152157456475,0.2392127176381529,0.0,0.49053747161241484,0.5927327781983346,1.607872823618471,0.0696442089326268,0.02725208175624527,0.0,0.03936411809235428,0.7676003028009084,1.0560181680545042,0.003028009084027252,0.0,0.02725208175624527,2.1604844814534445,0.26949280847842544
MultiQ,comprehension/language,Natural,7.480756315544764,0.2605569044789998,5.915684248592241,0.5512140310998606,0.12737510977940797,0.7016118200134318,0.3144443870434468,25233,0.5684300253138399,1.0043808441390711,2.4672030789895127,0.09697783747481531,387140,0.07379759260215943,0.025404246525804617,0.031585472955519965,0.20633879216820789,0.11614403058325154,0.018993129100583768,0.00807976442630573,0.027460350260887535,0.009740662292710648,0.00012140310998605156,0.3280105388231647,0.025448158288991062,0.003665340703621429,0.013604897453117736,0.15818308622203853,0.249604794131322,0.004088960066125949,0.006323293898847962,0.001030634912434778,0.07182672934855608,0.0036472593893681873,10.295784632663462,9.92503435449708,8.938459859415815,38.61070597797499,70.46401001364396,17.727051051357805,0.2107707506613756,0.569811507936508,14.213001988071571,0.5655559639650366,0.9998811080727619,0.10212816549756272,0.12119050449807792,0.03134783814845639,0.28141719177267865,2.6049617564300718,0.8093369793524353,0.001941901478222962,0.07902350097095073,1.8157571434232949,0.4213926207743828,0.007965759124955415,0.0003170451393017081,1.164903103079301,0.042404787381603457,0.00788649784012999,0.0019815321206356753,0.09705544326873539,0.13858835651725915,0.0026948836840645185,0.0005944596361907026,0.07343558039075813,0.22105972337811597,0.024293583798993382,0.41964887250822336,0.045773391986684106,0.0003566757817144216,0.03392382990528277,2.5658463123687234,0.8687433123290929,0.14595965600602387,0.23469266436808942,0.004914199659176475,0.037213173225537986,0.2933063844964927,1.1019300122854991,0.017794158443308367,0.04640748226528752,0.35620021400546903,3.8139341338723103,0.17552411524590814
ruDetox,social/ethics,Natural,5.920603180577774,0.11002634798155642,4.548673190928766,0.3496635927354851,0.3206337630563659,0.5977227815940529,0.37631739907782064,2423,0.8083301966688623,0.9568551802013738,1.9579490919356357,0.2453185282770302,85016,0.005657758539569022,0.009186506069445752,0.01402089018537687,0.05516608638373953,0.07666792133245506,0.06817540227721841,0.010186317869577492,0.0411334337065964,0.04386233179636774,0.0011174367177942976,0.22092312035381576,0.010786204949656535,0.062094194034064173,0.10178084125341112,0.09718170697280512,0.2834054766161664,0.02232520937235344,0.0030464853674602426,0.00028229980239013834,0.15238308083184343,0.0029641479250964524,7.276620712564473,3.6901844358708935,14.895698614629929,43.549052806199455,70.05344140313991,17.42124397416806,-0.3076032398200453,0.700369657316623,13.75509505052235,0.4568412651118508,2.418076764341725,0.17952950887329758,0.0780024762690879,0.2162608336772596,3.8666941807676434,1.1939744118860915,1.317375154766818,0.20553033429632686,0.0033016921172100704,2.9133305819232356,1.4486174164259182,0.22781675608749485,0.0,2.848947585637639,0.13743293437886916,0.24638877424680147,0.0012381345439537762,0.10771770532397854,1.4882377218324392,0.12670243499793643,0.011143210895583986,0.21543541064795707,0.017333883615352867,0.039207593891869584,0.2352455633512175,0.7474205530334296,0.0,0.6322740404457284,2.271564176640528,3.952125464300454,0.052414362360709864,0.16879900949236484,0.0008254230293025176,0.09863805200165085,2.6009079653322327,2.1729261246388774,0.0024762690879075525,0.0016508460586050352,1.205943045810978,9.750722245150639,0.7787866281469253
PARus,comprehension/language,Natural,6.843935764350989,0.17008251264306629,5.592582734451247,0.5147724248070269,0.2092981989175761,0.7461627184810575,0.24966728772957147,2694,0.7853784047555674,1.0001774465442286,2.3600390382397305,0.42684766214177977,11271,0.00026616981634282674,0.00035489308845710227,0.004879779966285157,0.05057226510513708,0.10566941708810221,0.01880933368822642,0.021116138763197588,0.0016857421701712359,0.028923786709253836,0.0,0.37201667997515747,0.0019519119865140627,0.005678289415313636,0.13485937361369887,0.007541478129713424,0.24789282228728596,0.005323396326856534,0.00026616981634282674,0.0,0.2492236713690001,0.0,5.143107449958791,2.063487711826813,2.6883183867224147,59.55778965925322,55.66098412880959,7.507979837172422,0.0,0.0,3.0166852057842046,0.5769121345593033,1.0011135857461024,0.004825538233110616,0.0022271714922048997,0.005939123979213066,0.09539717891610987,0.14587973273942093,0.001855976243504083,0.0003711952487008166,0.029324424647364514,0.4424647364513734,0.007052709725315516,0.017446176688938383,0.0,0.008908685968819599,0.05716406829992576,0.005196733481811433,0.0003711952487008166,0.0011135857461024498,0.11432813659985153,0.0,0.0,0.005567928730512249,0.0,0.0,0.0007423904974016332,0.0645879732739421,0.0,0.02190051967334818,0.18782479584261322,0.9443207126948775,0.03526354862657758,0.0011135857461024498,0.0,0.005567928730512249,0.4922048997772829,0.40014847809948034,0.0007423904974016332,0.0,0.0007423904974016332,1.0374907201187824,0.09688195991091314
ruEthics,social/ethics,Natural,7.0927896599208635,0.22806306541860585,5.711172410186686,0.5198059927835591,0.20765570255713015,0.6920593003189877,0.24748993358782617,16633,0.671651937457512,1.0170693231536196,2.404238351723056,0.029131586745454862,229476,0.0218541372518259,0.02276055012288867,0.02083006501769248,0.0962627900085412,0.1311248235109554,0.04607453502762816,0.0093343094702714,0.03189876065470899,0.02608115881399362,0.00011765936307064791,0.30833289755791454,0.023632100960449022,0.023100454949537205,0.05650264079903781,0.0803177674353745,0.2256968048946295,0.02207638271540379,0.00825358643169656,0.0009804946922553992,0.15358904634907355,0.006427687427007617,8.581837562283177,8.544559866827033,7.721190072790836,44.40491763945192,65.77702806450392,15.732661357430658,0.0,0.0956038424175679,12.3994891291434,0.5977613205027885,1.0133469608609391,0.1333493657187519,0.09523236938616005,0.12499248481933506,0.8076113749774545,1.0846509950099201,0.3660193591053929,0.03210485180063729,0.03769614621535502,1.8115793903685444,0.4388264293873625,0.13960199603198462,0.003607286719172729,0.5848614200685385,0.05356820777971502,0.0930679973546564,0.0005410930078759093,0.11387001743521914,0.3345758432032706,0.009920038477725004,0.006493116094510912,0.12445139181145914,0.057716587506763666,0.048878735044790476,0.1545121144712319,0.1485600913845969,0.0,0.2950760536283292,1.626044610112427,1.3063187639030842,0.11056333794264414,0.19058498166295917,0.0007214573438345458,0.08663500270546504,0.7871099621234895,1.3313894066013348,0.004509108398965911,0.007575302110262731,0.3245355618349065,3.0884386460650513,0.2636926591715265
USE,academic/specialized,Natural,6.719387613853437,0.2024095482992621,5.229915138171212,0.462185106594339,0.2211407084358618,0.6421081430551235,0.39478908309814886,39803,0.6608393031917232,0.9668792962216862,2.217255075668871,0.06583102220152201,614057,0.005305696376720728,0.004183650703436326,0.01824749168236825,0.09726132915999655,0.09797950353143112,0.052522811400244604,0.008165365755947738,0.043212600784617715,0.033249356330112674,0.0008842827294534547,0.2769107753840441,0.07813118326148875,0.031000379443602143,0.06523987186857245,0.04825773503111275,0.34813543368123806,0.018234463575856966,0.030249634805889356,5.5369452672960325e-05,0.14993559229843484,0.0004022427885359177,6.026655858889434,6.165843219766245,7.15539048742534,53.522343491983776,61.64591562890856,15.673232000368118,0.3072248765020634,0.8571428571428571,11.676141063237838,0.3376939230077921,1.3399994975253122,0.1880009044544381,0.1661432555335025,0.18031304173052282,1.0746928623470593,1.175037057508228,0.3898449865588021,0.02519910559505565,0.021204431826746726,1.565912117177097,0.6695475215436022,0.09433962264150944,0.0018842800793910006,1.2056880134663217,0.07582343039469387,0.06645227746652263,0.0015576715322965606,0.4667989850011306,0.47423561038112705,0.009245534256211843,0.009722885209657563,0.12147325578473984,0.006632665879456322,0.003919302565133282,0.11868452126724116,0.2017184634324046,0.0002763610783106801,0.24015777705198102,1.2135266185965883,1.2850287666758786,0.14039142778182548,0.49998743813280405,0.00012561867195940004,0.0564279074441625,0.8905107655201869,1.2302087782327966,0.012360877320804965,0.009170163053036202,0.4380825565912117,5.369444514232596,0.24739341255684244
ruHHH,social/ethics,Natural,6.7506256952169075,0.19997914349276974,5.364224137931035,0.4759107341490545,0.259837319243604,0.6544771968854283,0.23122914349276974,1860,0.7143353726362626,1.0016337597330367,2.2707522246941045,0.12096774193548387,28768,0.018909899888765295,0.012062013348164627,0.012409621802002224,0.10768909899888765,0.10237068965517242,0.06997358175750834,0.019327030033370413,0.04292964404894327,0.033127085650723025,0.00013904338153503893,0.23494855394883205,0.017241379310344827,0.03135428253615128,0.10372636262513904,0.05433120133481646,0.2158996106785317,0.03382230255839822,0.026904894327030034,6.952169076751947e-05,0.15694521690767518,0.006743604004449388,6.8784431034482765,6.910301724137934,7.565157906933631,50.25612462921768,63.05774008157212,15.598899591116528,0.3333333333333333,1.0,14.846153846153848,0.5716452185368424,1.0134408602150538,0.16075268817204302,0.1053763440860215,0.25806451612903225,1.289247311827957,1.227956989247312,0.20913978494623656,0.12688172043010754,0.06612903225806452,1.6155913978494623,0.682258064516129,0.1967741935483871,0.0,0.8989247311827957,0.09946236559139784,0.1043010752688172,0.0005376344086021505,0.4161290322580645,0.4854838709677419,0.002688172043010753,0.01021505376344086,0.16881720430107527,0.016666666666666666,0.08978494623655914,0.10967741935483871,0.2698924731182796,0.0,0.4838709677419355,1.1833333333333333,1.5381720430107526,0.1053763440860215,0.1693548387096774,0.0032258064516129032,0.07311827956989247,0.8650537634408603,1.221505376344086,0.005913978494623656,0.008064516129032258,0.35591397849462364,3.3311827956989246,0.4817204301075269
ruMMLU,academic/specialized,Natural,7.477308297696242,0.2917031949177181,6.151571726632409,0.5520787963110458,0.19037169143161412,0.7098062062566071,0.21258495255133356,47673,0.6084747027705031,0.9972374059687626,2.609384799271923,0.09407969415410596,897707,0.011249773032849249,0.004810032672130217,0.013143486683294216,0.13277383377872737,0.11761521298151847,0.038496970615133894,0.01258762602942831,0.03069821222291906,0.03470954331424396,0.00011028097140826572,0.3402513292198902,0.03264205358764051,0.019867284091579993,0.05028700901296303,0.04001639733231444,0.1807805887667134,0.029279040934291477,0.005250042608557135,0.005314651662513493,0.12736226853527932,0.005006087732411578,12.750797633097456,11.644958978820489,11.685459929321414,25.53130792492621,74.03839166097474,20.770994798714828,-0.1248777649441933,0.5130804739518928,14.493524866688432,0.6094516354417208,1.1591676630377783,0.27057244142386677,0.16485222243198455,0.2910662219705074,0.8913011557904894,2.0552094476957605,0.5225599395884463,0.0501331990854362,0.10032932687265328,2.246932225788182,0.5892224110083276,0.13212929750592578,0.004153294317538229,0.9955530384074843,0.08419860298282046,0.03641474209720387,0.0018249323516455855,0.09904977660310868,0.5858452373460868,0.003230340024751956,0.0008600255910053909,0.24485557862941287,0.03150630335829505,0.07838818618505233,0.09307154993392486,0.197218551381285,8.390493570784301e-05,0.5016885868311204,2.630147043399828,1.6160090617330565,0.18217859165565414,0.3344031212636083,0.00037757221068529355,0.07945797411532733,0.9971262559520063,1.3892559729826106,0.021248924968011243,0.0009649067606401947,0.2108950559016634,3.3814318377278543,0.3791034757619617
MaMuRAMu,academic/specialized,Natural,7.697775366250678,0.3247020759229115,6.340919595667289,0.5849158979924037,0.1466710877996825,0.7265127308534797,0.16098952995317617,4117,0.5484817427302506,1.0039991157733967,2.7073511384417515,0.28876027411024696,99522,0.028536404011173407,0.014951468017121843,0.036373867084664696,0.1530817306726151,0.10300235123892204,0.01962380177247242,0.0039488756254898415,0.020075963103635377,0.03281686461284942,5.0240147906995435e-05,0.3460541387833846,0.042332348626434355,0.014539498804284479,0.02953115893973192,0.12855449046441994,0.12932818874218766,0.012138019734330098,0.005677136713490485,0.004240268483350415,0.09237153594180181,0.015132332549587025,15.43480301330279,13.0971869536384,15.018642664523256,12.697741150940516,82.66501705209438,24.819691111625986,0.0956105830562352,0.4283541821336205,18.437472575691093,0.5723380983789427,1.1085742045178528,0.2647558902113189,0.14865193101773136,0.1025018217148409,0.6567889239737673,3.288316735487005,1.8136992956035949,0.010930289045421423,0.04056351712411951,2.5258683507408306,0.47753218362885597,0.045421423366529025,0.004129220306048093,1.2598979839689095,0.0446927374301676,0.060966723342239494,0.0019431624969638087,0.13747874666018947,0.7367014816614039,0.002671848433325237,0.018460043721156182,0.12970609667233424,0.06218119990284188,0.27350012144765606,0.7699781394219092,0.17828515909642945,0.00024289531212047608,0.2589264027204275,4.769249453485548,1.8656788923973768,0.22152052465387417,0.516881224192373,0.0014573718727228565,0.12970609667233424,0.8409035705610882,1.3529268885110517,0.02161768277872237,0.0036434296818071412,0.2496963808598494,3.1207189701238764,0.34248239008987125
